formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
2	C28H49N9O6	[M + H]+	C28H50N9O6+	Amino acids and Peptides	0,988	Oligopeptides	0,988	Cyclic peptides	0,910	Organic acids and derivatives	0,994	Carboxylic acids and derivatives	0,981	Amino acids, peptides, and analogues	0,947	Peptides	0,815	Oligopeptides	0,674	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	608,385	49	0,815	692040874481717926	692039899394019683	8315	
1	C18H27IO2	[M + H]+	C18H28IO2+	Fatty acids	0,720	Diterpenoids	0,148	Halogenated fatty acids	0,189	Benzenoids	0,299	Benzene and substituted derivatives	0,337	Halobenzenes	0,532	Iodobenzenes	0,829	Iodobenzenes	0,829	Organic compounds; Lipids and lipid-like molecules; Halobenzenes; Organohalogen compounds; Organooxygen compounds; Alkyl iodides; Aryl iodides; Iodobenzenes; Organoiodides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	403,113	49	0,817	692040893473531692	692039773988504451	3246	
1	C27H44O7	[M + H]+	C27H45O7+	Terpenoids	0,798	Steroids	0,301	Cardenolides	0,210	Lipids and lipid-like molecules	0,657							Lipids and lipid-like molecules	0,657	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Carbonyl compounds; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	481,317	49	0,819	692040881804972796	692039822122344691	5165	
9	C39H58ClN7O4	[M + H]+	C39H59ClN7O4+	Amino acids and Peptides	0,888	Oligopeptides	0,971	Linear peptides	0,115	Organic acids and derivatives	0,961	Carboxylic acids and derivatives	0,945	Amino acids, peptides, and analogues	0,948	Amino acids and derivatives	0,940	Alpha amino acid amides	0,675	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; N-acyl amines; Organochlorides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Tertiary amines; Aryl halides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	724,428	49	0,820	692040887102380257	692039978972562091	11536	
1	C24H49NO4	[M + H]+	C24H50NO4+	Fatty acids	0,999	Fatty amides	0,915	N-acyl amines	0,445	Lipids and lipid-like molecules	0,967	Fatty Acyls	0,951	Fatty amides	0,897	N-acyl amines	0,862	N-acyl amines	0,862	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Dialkyl ethers; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	416,373	49	0,820	692040874087453117	692039781383063591	3546	
1	C17H33N5O5	[M + H]+	C17H34N5O5+	Carbohydrates	0,665	Small peptides	0,266	Tripeptides	0,288	Organic acids and derivatives	0,776	Carboxylic acids and derivatives	0,543	Carboxylic acid derivatives	0,557	Carboxylic acid amides	0,605	Carboxylic acid amides	0,605	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	388,255	49	0,822	692040888880766174	692039765872524915	2920	
5	C14H8N10O4	[M + H]+	C14H9N10O4+	Alkaloids	0,886	Pseudoalkaloids (transamidation)	0,588	Purine alkaloids	0,918	Organoheterocyclic compounds	0,998	Diazines	0,600					Diazines	0,600	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Furazans; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	381,080	49	0,825	692040903200126725	692039762231868467	2775	
2	C17H21N5O3	[M + H]+	C17H22N5O3+	Amino acids and Peptides	0,381	Pseudoalkaloids (transamidation)	0,348	Purine alkaloids	0,189	Organoheterocyclic compounds	0,987	Imidazopyrimidines	0,773	Purines and purine derivatives	0,797	6-aminopurines	0,518	6-aminopurines	0,518	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Secondary alcohols; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	344,171	50	0,826	692040901514014383	692039745563701747	2115	
1	C30H26O13	[M + H]+	C30H27O13+	Shikimates and Phenylpropanoids	0,999	Flavonoids	0,986	Anthocyanidins	0,386	Phenylpropanoids and polyketides	1,000	Flavonoids	0,992	Flavonoid glycosides	0,986	Flavonoid O-glycosides	0,985	Flavonoid 3-O-p-coumaroyl glycosides	0,928	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Flavonoids; Coumaric acid esters; Cinnamic acids and derivatives; Pyranones and derivatives; Carboxylic acid derivatives; Flavonoid glycosides; Monocarboxylic acids and derivatives; Carboxylic acid esters; Hydroxycinnamic acids and derivatives; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Hydroxycinnamic acid esters; 1-benzopyrans; Cinnamic acid esters; Flavonoid-3-O-glycosides; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Flavonoid 3-O-p-coumaroyl glycosides; Vinylogous acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	595,145	50	0,827	692040907511877490	692039891387092003	7969	
1	C19H37N5O6	[M + H]+	C19H38N5O6+	Amino acids and Peptides	0,642	Small peptides	0,487	Tripeptides	0,131	Organic oxygen compounds	1,000	Organooxygen compounds	0,998	Ethers	0,796	Dialkyl ethers	0,853	Dialkyl ethers	0,853	Organic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	432,281	50	0,828	692040895033812910	692039790216269243	3908	
1	C11H20N2O3	[M + H]+	C11H21N2O3+	Amino acids and Peptides	1,000	Small peptides	1,000	Dipeptides	0,993	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	1,000	Amino acids, peptides, and analogues	1,000	Peptides	0,961	Dipeptides	0,913	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	229,155	50	0,830	692040895935588472	692039685715170335	202	
2	C6H15N5O4S	[M + H]+	C6H16N5O4S+	Amino acids and Peptides	0,967	Small peptides	0,887	Aminoacids	0,847	Organic acids and derivatives	0,981	Carboxylic acids and derivatives	0,904	Amino acids, peptides, and analogues	0,813	Amino acids and derivatives	0,808	Alpha amino acids	0,836	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	254,092	50	0,831	692040895843313741	692039694930057267	465	
1	C30H26O12	[M + H]+	C30H27O12+	Shikimates and Phenylpropanoids	1,000	Flavonoids	0,995	Proanthocyanins	0,998	Phenylpropanoids and polyketides	0,998	Flavonoids	1,000	Biflavonoids and polyflavonoids	0,934			Biflavonoids and polyflavonoids	0,934	Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Tannins; Ethers; Phenylpropanoids and polyketides; Organooxygen compounds; Flavonoids; Flavans; Proanthocyanidins; Benzenediols; Catechins; Biflavonoids and polyflavonoids; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; Flavan-3-ols; 1-benzopyrans; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; B-type proanthocyanidins; Chemical entities	579,150	50	0,831	692040909307039834	692039881245263235	7543	
2	C27H16O11	[M + H]+	C27H17O11+	Polyketides	0,639	Flavonoids	0,308	Flavones	0,444	Organoheterocyclic compounds	0,674	Benzopyrans	0,710	1-benzopyrans	0,699	Chromones	0,736	Chromones	0,736	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Benzene and substituted derivatives; Benzenoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	517,075	50	0,833	692040897613310348	692039842749934899	5969	
1	C22H22O12	[M + H]+	C22H23O12+	Shikimates and Phenylpropanoids	1,000	Flavonoids	0,999	Flavonols	0,981	Phenylpropanoids and polyketides	0,998	Flavonoids	0,994	Flavonoid glycosides	0,987	Flavonoid O-glycosides	0,983	Flavonoid-3-O-glycosides	0,845	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Chromones; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; O-methylated flavonoids; 3'-O-methylated flavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities	479,119	50	0,834	692040899890818295	692039820331376667	5108	
1	C15H29N5O4	[M + H]+	C15H30N5O4+	Carbohydrates	0,887	Nucleosides	0,719	Purine nucleosides	0,754	Organoheterocyclic compounds	0,989	Imidazopyrimidines	0,960	Purines and purine derivatives	0,958	6-aminopurines	0,948	6-aminopurines	0,948	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Monoalkylamines; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	344,228	50	0,837	692040914487006210	692039745660170755	2119	
1	C18H39NO10	[M + H]+	C18H40NO10+	Fatty acids	0,862	Polyols	0,146	Sphingoid bases	0,195	Organic oxygen compounds	0,998	Organooxygen compounds	0,997	Carbohydrates and carbohydrate conjugates	0,507			Carbohydrates and carbohydrate conjugates	0,507	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Secondary alcohols; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	430,265	50	0,839	692040910942818773	692039788878286051	3854	
3	C11H8F14O2	[M + H]+	C11H9F14O2+	Fatty acids	0,723	Monoterpenoids	0,314	Halogenated fatty acids	0,772	Organic acids and derivatives	0,970	Carboxylic acids and derivatives	0,962	Carboxylic acid derivatives	0,883	Carboxylic acid esters	0,876	Carboxylic acid esters	0,876	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	439,038	50	0,839	692040911903314615	692039794683203719	4090	
1	C10H22O6	[M + H]+	C10H23O6+	Fatty acids	0,803	Fatty acyls	0,535	Fatty alcohols	0,437	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Ethers	0,992	Dialkyl ethers	0,993	Polyethylene glycols	0,985	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	239,149	50	0,840	692040912092058334	692039688152061239	272	
1	C26H14O10	[M + H]+	C26H15O10+	Shikimates and Phenylpropanoids	0,632	Flavonoids	0,357	Flavones	0,473	Phenylpropanoids and polyketides	0,591	Flavonoids	0,514	Flavones	0,543			Flavones	0,543	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavones; Benzene and substituted derivatives; Benzenoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	487,064	50	0,841	692040918047970704	692039826157265611	5287	
2	C29H53N5O12	[M + H]+	C29H54N5O12+	Amino acids and Peptides	0,983	Oligopeptides	0,997	Cyclic peptides	0,984	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,997	Amino acids, peptides, and analogues	0,877	Peptides	0,695	Oligopeptides	0,608	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Cyclic peptides; Acetohydroxamic acids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	664,375	50	0,841	692040918547093635	692039935590869115	9828	
1	C12H26O7	[M + H]+	C12H27O7+	Fatty acids	0,862	Fatty acyls	0,626	Fatty alcohols	0,540	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Ethers	0,993	Dialkyl ethers	0,993	Polyethylene glycols	0,982	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	283,176	50	0,841	692040921311140534	692039710792916979	963	
1	C21H20O11	[M + H]+	C21H21O11+	Shikimates and Phenylpropanoids	0,996	Flavonoids	0,980	Flavones	0,689	Phenylpropanoids and polyketides	0,972	Flavonoids	0,905	Flavonoid glycosides	0,916	Flavonoid O-glycosides	0,926	Flavonoid O-glycosides	0,926	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	449,108	51	0,842	692040922280024821	692039800685253711	4338	
2	C16H17N9OS	[M + H]+	C16H18N9OS+	Alkaloids	0,516	Oligopeptides	0,203	Cyclamides	0,117	Benzenoids	0,916							Benzenoids	0,916	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carbonyl compounds; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	384,135	51	0,842	692040931297779529	692039763712458027	2837	
1	C16H34NO7P	[M + H]+	C16H35NO7P+	Fatty acids	0,970	Glycerophospholipids	0,995	Glycerophosphoethanolamines	0,852	Organic acids and derivatives	0,996	Carboxylic acids and derivatives	0,958	Amino acids, peptides, and analogues	0,552	Amino acids and derivatives	0,551	Amino acids and derivatives	0,551	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Pyrrolidines; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	384,215	51	0,844	692040919708915912	692039763737623855	2838	
1	C19H37N5O5	[M + H]+	C19H38N5O5+	Carbohydrates	0,803	Oligopeptides	0,321	Tripeptides	0,134	Organic acids and derivatives	0,769	Carboxylic acids and derivatives	0,557	Amino acids, peptides, and analogues	0,524	Amino acids and derivatives	0,507	Amino acids and derivatives	0,507	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Dialkyl ethers; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	416,286	51	0,844	692040921080453778	692039781211097099	3539	
1	C31H42NO8P	[M + H]+	C31H43NO8P+	Fatty acids	0,999	Glycerophospholipids	1,000	Glycerophosphocholines	0,980	Lipids and lipid-like molecules	0,976	Glycerophospholipids	0,997	Glycerophosphocholines	0,994	Phosphatidylcholines	0,802	Phosphatidylcholines	0,802	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	588,270	51	0,845	692040920921070186	692039886446201055	7759	
1	C21H20O12	[M + H]+	C21H21O12+	Shikimates and Phenylpropanoids	1,000	Flavonoids	0,999	Flavonols	0,996	Phenylpropanoids and polyketides	0,996	Flavonoids	0,997	Flavonoid glycosides	0,992	Flavonoid O-glycosides	0,992	Flavonoid-3-O-glycosides	0,659	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Flavonols; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	465,103	51	0,850	692040930899320576	692039810667698831	4747	
3	C13H25N5O2	[M + H]+	C13H26N5O2+	Alkaloids	0,868	Pseudoalkaloids (transamidation)	0,379	Purine alkaloids	0,330	Organoheterocyclic compounds	0,975	Imidazopyrimidines	0,594	Purines and purine derivatives	0,652			Purines and purine derivatives	0,652	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Diazines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	284,207	51	0,851	692040938788807352	692039711187181611	977	
2	C18H24Br2N4O3	[M + H]+	C18H25Br2N4O3+	Alkaloids	0,727	Pseudoalkaloids (transamidation)	0,210	Purine alkaloids	0,123	Organoheterocyclic compounds	0,951	Imidazopyrimidines	0,479	Purines and purine derivatives	0,547	Xanthines	0,517	Xanthines	0,517	Organic compounds; Organoheterocyclic compounds; Halobenzenes; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Xanthines; Ethers; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Ureas; Aryl bromides; Bromobenzenes; Diazines; Organobromides; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Phenol ethers; Benzenoids; Amines; Aryl halides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	503,028	51	0,853	692040952860697661	692039834965305371	5635	
1	C10H22O5	[M + H]+	C10H23O5+	Fatty acids	0,868	Fatty acyls	0,650	Fatty alcohols	0,460	Organic oxygen compounds	1,000	Organooxygen compounds	1,000	Ethers	0,994	Dialkyl ethers	0,994	Polyethylene glycols	0,938	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	223,154	51	0,856	692040963665226140	692039683227947819	141	
